workload,workload_mix,scheme,off_chip_accesses,speedup,throughput,energy_pJ
ResNet-50,Workload mix 3,Static,405504.0,1.0,1.279866085440279e-07,242221056.0
ResNet-50,Workload mix 3,Dynamic,271687.68,1.48,1.8942018064516128e-07,152599265.28
BERT-Large,Workload mix 3,Static,425984.0,1.0,1.9856455898452527e-06,363855872.0
BERT-Large,Workload mix 3,Dynamic,285409.28,1.48,2.9387554729709737e-06,229229199.36
3D-UNet,Workload mix 3,Static,540960.0,1.0,5.757540113476908e-07,23391232.0
3D-UNet,Workload mix 3,Dynamic,362443.2,1.48,8.521159367945824e-07,14736476.16
VGG-16,Workload mix 4,Static,438272.0,1.0,1.151145404848322e-06,381681664.0
VGG-16,Workload mix 4,Dynamic,293642.24,1.48,1.7036951991755164e-06,240459448.32
DLRM,Workload mix 4,Static,180224.0,1.0,5.040473486555505e-07,191889408.0
DLRM,Workload mix 4,Dynamic,120750.08,1.48,7.459900760102148e-07,120890327.04
RNN-T,Workload mix 4,Static,81920.0,1.0,2.554620702256601e-07,59244544.0
RNN-T,Workload mix 4,Dynamic,54886.4,1.48,3.7808386393397695e-07,37324062.72
GPT-2/Transformer,Workload mix 4,Static,393216.0,1.0,1.5180558582832325e-06,257949696.0
GPT-2/Transformer,Workload mix 4,Dynamic,263454.72000000003,1.48,2.246722670259184e-06,162508308.48
